Country name,Month,Monthly oil production
Canada,1973-01-01,8604000
Canada,1973-02-01,8671000
Canada,1973-03-01,8836000
Canada,1973-04-01,8647000
Canada,1973-05-01,8328000
Canada,1973-06-01,9141000
Canada,1973-07-01,8725000
Canada,1973-08-01,8705000
Canada,1973-09-01,8396000
Canada,1973-10-01,8720000
Canada,1973-11-01,8812000
Canada,1973-12-01,8831000
Canada,1974-01-01,8110000
Canada,1974-02-01,8105000
Canada,1974-03-01,8270000
Canada,1974-04-01,7955000
Canada,1974-05-01,7612000
Canada,1974-06-01,7394000
Canada,1974-07-01,7365000
Canada,1974-08-01,7225000
Canada,1974-09-01,7099000
Canada,1974-10-01,7021000
Canada,1974-11-01,6455000
Canada,1974-12-01,7471000
Canada,1975-01-01,7539000
Canada,1975-02-01,7108000
Canada,1975-03-01,6542000
Canada,1975-04-01,5792000
Canada,1975-05-01,5792000
Canada,1975-06-01,7104000
Canada,1975-07-01,7104000
Canada,1975-08-01,7123000
Canada,1975-09-01,7389000
Canada,1975-10-01,6939000
Canada,1975-11-01,7021000
Canada,1975-12-01,7602000
Canada,1976-01-01,6233000
Canada,1976-02-01,5889000
Canada,1976-03-01,5821000
Canada,1976-04-01,5405000
Canada,1976-05-01,6426000
Canada,1976-06-01,7021000
Canada,1976-07-01,6092000
Canada,1976-08-01,6020000
Canada,1976-09-01,6107000
Canada,1976-10-01,6581000
Canada,1976-11-01,6518000
Canada,1976-12-01,8144000
Canada,1977-01-01,6237000
Canada,1977-02-01,6523000
Canada,1977-03-01,6431000
Canada,1977-04-01,5918000
Canada,1977-05-01,6349000
Canada,1977-06-01,6828000
Canada,1977-07-01,5623000
Canada,1977-08-01,6412000
Canada,1977-09-01,6020000
Canada,1977-10-01,6010000
Canada,1977-11-01,6925000
Canada,1977-12-01,7457000
Canada,1978-01-01,6068000
Canada,1978-02-01,6475000
Canada,1978-03-01,6450000
Canada,1978-04-01,5439000
Canada,1978-05-01,5705000
Canada,1978-06-01,7375000
Canada,1978-07-01,5613000
Canada,1978-08-01,6208000
Canada,1978-09-01,5991000
Canada,1978-10-01,6596000
Canada,1978-11-01,7210000
Canada,1978-12-01,7317000
Canada,1979-01-01,6954000
Canada,1979-02-01,7544000
Canada,1979-03-01,7471000
Canada,1979-04-01,7254000
Canada,1979-05-01,7021000
Canada,1979-06-01,7336000
Canada,1979-07-01,7292000
Canada,1979-08-01,6958000
Canada,1979-09-01,7152000
Canada,1979-10-01,7423000
Canada,1979-11-01,7321000
Canada,1979-12-01,7413000
Canada,1980-01-01,7292000
Canada,1980-02-01,7215000
Canada,1980-03-01,7321000
Canada,1980-04-01,6692000
Canada,1980-05-01,7104000
Canada,1980-06-01,7365000
Canada,1980-07-01,7268000
Canada,1980-08-01,7123000
Canada,1980-09-01,6702000
Canada,1980-10-01,6150000
Canada,1980-11-01,6717000
Canada,1980-12-01,6397000
Canada,1981-01-01,6731000
Canada,1981-02-01,6726000
Canada,1981-03-01,6204000
Canada,1981-04-01,6431000
Canada,1981-05-01,6049000
Canada,1981-06-01,5966000
Canada,1981-07-01,6155000
Canada,1981-08-01,5966000
Canada,1981-09-01,6131000
Canada,1981-10-01,5415000
Canada,1981-11-01,6199000
Canada,1981-12-01,6673000
Canada,1982-01-01,6058000
Canada,1982-02-01,6334000
Canada,1982-03-01,5875000
Canada,1982-04-01,4621000
Canada,1982-05-01,5666000
Canada,1982-06-01,6489000
Canada,1982-07-01,6121000
Canada,1982-08-01,6446000
Canada,1982-09-01,6228000
Canada,1982-10-01,6484000
Canada,1982-11-01,7046000
Canada,1982-12-01,6455000
Canada,1983-01-01,5831000
Canada,1983-02-01,6450000
Canada,1983-03-01,6610000
Canada,1983-04-01,5971000
Canada,1983-05-01,6257000
Canada,1983-06-01,7138000
Canada,1983-07-01,7017000
Canada,1983-08-01,6736000
Canada,1983-09-01,6804000
Canada,1983-10-01,6591000
Canada,1983-11-01,6712000
Canada,1983-12-01,6639000
Canada,1984-01-01,6629000
Canada,1984-02-01,6992000
Canada,1984-03-01,7138000
Canada,1984-04-01,6920000
Canada,1984-05-01,6847000
Canada,1984-06-01,7113000
Canada,1984-07-01,7331000
Canada,1984-08-01,6944000
Canada,1984-09-01,6436000
Canada,1984-10-01,7065000
Canada,1984-11-01,7065000
Canada,1984-12-01,6992000
Canada,1985-01-01,6852000
Canada,1985-02-01,7075000
Canada,1985-03-01,7336000
Canada,1985-04-01,6847000
Canada,1985-05-01,7099000
Canada,1985-06-01,7079000
Canada,1985-07-01,7162000
Canada,1985-08-01,7002000
Canada,1985-09-01,7007000
Canada,1985-10-01,7186000
Canada,1985-11-01,7428000
Canada,1985-12-01,7341000
Canada,1986-01-01,7215000
Canada,1986-02-01,6770000
Canada,1986-03-01,6562000
Canada,1986-04-01,6736000
Canada,1986-05-01,6983000
Canada,1986-06-01,7544000
Canada,1986-07-01,7486000
Canada,1986-08-01,7423000
Canada,1986-09-01,7350000
Canada,1986-10-01,7433000
Canada,1986-11-01,7002000
Canada,1986-12-01,7070000
Canada,1987-01-01,7215000
Canada,1987-02-01,7138000
Canada,1987-03-01,7186000
Canada,1987-04-01,7113000
Canada,1987-05-01,7263000
Canada,1987-06-01,7679000
Canada,1987-07-01,7776000
Canada,1987-08-01,7873000
Canada,1987-09-01,7529000
Canada,1987-10-01,7433000
Canada,1987-11-01,7336000
Canada,1987-12-01,7559000
Canada,1988-01-01,7418000
Canada,1988-02-01,7810000
Canada,1988-03-01,7931000
Canada,1988-04-01,7641000
Canada,1988-05-01,7781000
Canada,1988-06-01,7771000
Canada,1988-07-01,7980000
Canada,1988-08-01,8004000
Canada,1988-09-01,7771000
Canada,1988-10-01,7921000
Canada,1988-11-01,8004000
Canada,1988-12-01,7815000
Canada,1989-01-01,7646000
Canada,1989-02-01,7597000
Canada,1989-03-01,7452000
Canada,1989-04-01,7525000
Canada,1989-05-01,7549000
Canada,1989-06-01,7742000
Canada,1989-07-01,7428000
Canada,1989-08-01,7452000
Canada,1989-09-01,7646000
Canada,1989-10-01,7379000
Canada,1989-11-01,7718000
Canada,1989-12-01,7476000
Canada,1990-01-01,7177000
Canada,1990-02-01,7275000
Canada,1990-03-01,7791000
Canada,1990-04-01,7521000
Canada,1990-05-01,7423000
Canada,1990-06-01,7324000
Canada,1990-07-01,7496000
Canada,1990-08-01,7496000
Canada,1990-09-01,7521000
Canada,1990-10-01,7767000
Canada,1990-11-01,7619000
Canada,1990-12-01,7742000
Canada,1991-01-01,7552000
Canada,1991-02-01,7843000
Canada,1991-03-01,7479000
Canada,1991-04-01,6993000
Canada,1991-05-01,7284000
Canada,1991-06-01,7382000
Canada,1991-07-01,7430000
Canada,1991-08-01,7649000
Canada,1991-09-01,7503000
Canada,1991-10-01,7284000
Canada,1991-11-01,7843000
Canada,1991-12-01,7673000
Canada,1992-01-01,7703000
Canada,1992-02-01,7582000
Canada,1992-03-01,7874000
Canada,1992-04-01,7460000
Canada,1992-05-01,7339000
Canada,1992-06-01,7582000
Canada,1992-07-01,7922000
Canada,1992-08-01,8141000
Canada,1992-09-01,7874000
Canada,1992-10-01,8092000
Canada,1992-11-01,7971000
Canada,1992-12-01,7655000
Canada,1993-01-01,7600000
Canada,1993-02-01,7794000
Canada,1993-03-01,7915000
Canada,1993-04-01,7770000
Canada,1993-05-01,8036000
Canada,1993-06-01,8351000
Canada,1993-07-01,8278000
Canada,1993-08-01,8569000
Canada,1993-09-01,8423000
Canada,1993-10-01,8351000
Canada,1993-11-01,8109000
Canada,1993-12-01,8278000
Canada,1994-01-01,8091000
Canada,1994-02-01,8347000
Canada,1994-03-01,8270000
Canada,1994-04-01,8100000
Canada,1994-05-01,8270000
Canada,1994-06-01,8381000
Canada,1994-07-01,8730000
Canada,1994-08-01,8676000
Canada,1994-09-01,8807000
Canada,1994-10-01,8410000
Canada,1994-11-01,8618000
Canada,1994-12-01,8691000
Canada,1995-01-01,8613000
Canada,1995-02-01,8531000
Canada,1995-03-01,8362000
Canada,1995-04-01,8705000
Canada,1995-05-01,8430000
Canada,1995-06-01,8880000
Canada,1995-07-01,8860000
Canada,1995-08-01,8676000
Canada,1995-09-01,9088000
Canada,1995-10-01,8846000
Canada,1995-11-01,8846000
Canada,1995-12-01,8991000
Canada,1996-01-01,8652000
Canada,1996-02-01,8313000
Canada,1996-03-01,8778000
Canada,1996-04-01,8972000
Canada,1996-05-01,8555000
Canada,1996-06-01,8851000
Canada,1996-07-01,8749000
Canada,1996-08-01,9059000
Canada,1996-09-01,8972000
Canada,1996-10-01,9368000
Canada,1996-11-01,9141000
Canada,1996-12-01,9218000
Canada,1997-01-01,9209000
Canada,1997-02-01,9436000
Canada,1997-03-01,9339000
Canada,1997-04-01,8962000
Canada,1997-05-01,8536000
Canada,1997-06-01,9020000
Canada,1997-07-01,9286000
Canada,1997-08-01,9315000
Canada,1997-09-01,9484000
Canada,1997-10-01,9615000
Canada,1997-11-01,9683000
Canada,1997-12-01,9755000
Canada,1998-01-01,9252000
Canada,1998-02-01,9407000
Canada,1998-03-01,9446000
Canada,1998-04-01,9620000
Canada,1998-05-01,9402000
Canada,1998-06-01,9349000
Canada,1998-07-01,9896000
Canada,1998-08-01,9755000
Canada,1998-09-01,9988000
Canada,1998-10-01,9794000
Canada,1998-11-01,9625000
Canada,1998-12-01,9494000
Canada,1999-01-01,9155000
Canada,1999-02-01,9088000
Canada,1999-03-01,8880000
Canada,1999-04-01,8865000
Canada,1999-05-01,9107000
Canada,1999-06-01,9368000
Canada,1999-07-01,9480000
Canada,1999-08-01,9223000
Canada,1999-09-01,8986000
Canada,1999-10-01,9155000
Canada,1999-11-01,9707000
Canada,1999-12-01,9688000
Canada,2000-01-01,9576000
Canada,2000-02-01,9634000
Canada,2000-03-01,9155000
Canada,2000-04-01,9165000
Canada,2000-05-01,9630000
Canada,2000-06-01,9775000
Canada,2000-07-01,9610000
Canada,2000-08-01,9460000
Canada,2000-09-01,9712000
Canada,2000-10-01,9489000
Canada,2000-11-01,9818000
Canada,2000-12-01,9780000
Canada,2001-01-01,9833000
Canada,2001-02-01,9930000
Canada,2001-03-01,10020000
Canada,2001-04-01,9901000
Canada,2001-05-01,9809000
Canada,2001-06-01,9538000
Canada,2001-07-01,9451000
Canada,2001-08-01,9455000
Canada,2001-09-01,9722000
Canada,2001-10-01,9901000
Canada,2001-11-01,10070000
Canada,2001-12-01,10210000
Canada,2002-01-01,10120000
Canada,2002-02-01,10490000
Canada,2002-03-01,10450000
Canada,2002-04-01,10670000
Canada,2002-05-01,10310000
Canada,2002-06-01,10430000
Canada,2002-07-01,10650000
Canada,2002-08-01,10480000
Canada,2002-09-01,10330000
Canada,2002-10-01,10540000
Canada,2002-11-01,10760000
Canada,2002-12-01,10830000
Canada,2003-01-01,10740000
Canada,2003-02-01,10720000
Canada,2003-03-01,10820000
Canada,2003-04-01,10570000
Canada,2003-05-01,10600000
Canada,2003-06-01,10890000
Canada,2003-07-01,11640000
Canada,2003-08-01,11440000
Canada,2003-09-01,11370000
Canada,2003-10-01,11250000
Canada,2003-11-01,11810000
Canada,2003-12-01,12000000
Canada,2004-01-01,11680000
Canada,2004-02-01,11950000
Canada,2004-03-01,11810000
Canada,2004-04-01,11430000
Canada,2004-05-01,11540000
Canada,2004-06-01,11760000
Canada,2004-07-01,11660000
Canada,2004-08-01,11470000
Canada,2004-09-01,11650000
Canada,2004-10-01,11460000
Canada,2004-11-01,11780000
Canada,2004-12-01,11110000
Canada,2005-01-01,11270000
Canada,2005-02-01,11120000
Canada,2005-03-01,10510000
Canada,2005-04-01,11130000
Canada,2005-05-01,11420000
Canada,2005-06-01,11270000
Canada,2005-07-01,11320000
Canada,2005-08-01,11480000
Canada,2005-09-01,10950000
Canada,2005-10-01,11920000
Canada,2005-11-01,12330000
Canada,2005-12-01,12800000
Canada,2006-01-01,12560000
Canada,2006-02-01,12120000
Canada,2006-03-01,11660000
Canada,2006-04-01,12250000
Canada,2006-05-01,11330000
Canada,2006-06-01,11300000
Canada,2006-07-01,12160000
Canada,2006-08-01,12310000
Canada,2006-09-01,12580000
Canada,2006-10-01,12590000
Canada,2006-11-01,12860000
Canada,2006-12-01,12910000
Canada,2007-01-01,12380000
Canada,2007-02-01,12570000
Canada,2007-03-01,13130000
Canada,2007-04-01,12660000
Canada,2007-05-01,12540000
Canada,2007-06-01,12070000
Canada,2007-07-01,12630000
Canada,2007-08-01,13590000
Canada,2007-09-01,13080000
Canada,2007-10-01,12920000
Canada,2007-11-01,13010000
Canada,2007-12-01,12010000
Canada,2008-01-01,12260000
Canada,2008-02-01,12320000
Canada,2008-03-01,12730000
Canada,2008-04-01,12180000
Canada,2008-05-01,11800000
Canada,2008-06-01,11960000
Canada,2008-07-01,12830000
Canada,2008-08-01,12980000
Canada,2008-09-01,12400000
Canada,2008-10-01,12580000
Canada,2008-11-01,12980000
Canada,2008-12-01,12740000
Canada,2009-01-01,12540000
Canada,2009-02-01,12990000
Canada,2009-03-01,12480000
Canada,2009-04-01,11900000
Canada,2009-05-01,11790000
Canada,2009-06-01,12380000
Canada,2009-07-01,12900000
Canada,2009-08-01,12460000
Canada,2009-09-01,12230000
Canada,2009-10-01,12550000
Canada,2009-11-01,13190000
Canada,2009-12-01,12410000
Canada,2010-01-01,12020000
Canada,2010-02-01,12650000
Canada,2010-03-01,12700000
Canada,2010-04-01,13080000
Canada,2010-05-01,13370000
Canada,2010-06-01,13470000
Canada,2010-07-01,13420000
Canada,2010-08-01,13560000
Canada,2010-09-01,12890000
Canada,2010-10-01,13220000
Canada,2010-11-01,14390000
Canada,2010-12-01,14340000
Canada,2011-01-01,13710000
Canada,2011-02-01,13470000
Canada,2011-03-01,13810000
Canada,2011-04-01,13810000
Canada,2011-05-01,12400000
Canada,2011-06-01,12920000
Canada,2011-07-01,14100000
Canada,2011-08-01,14870000
Canada,2011-09-01,14480000
Canada,2011-10-01,14820000
Canada,2011-11-01,14730000
Canada,2011-12-01,15270000
Canada,2012-01-01,15040000
Canada,2012-02-01,15720000
Canada,2012-03-01,14700000
Canada,2012-04-01,15270000
Canada,2012-05-01,14690000
Canada,2012-06-01,14580000
Canada,2012-07-01,15070000
Canada,2012-08-01,14830000
Canada,2012-09-01,14570000
Canada,2012-10-01,15350000
Canada,2012-11-01,15830000
Canada,2012-12-01,16580000
Canada,2013-01-01,16110000
Canada,2013-02-01,15770000
Canada,2013-03-01,16590000
Canada,2013-04-01,15660000
Canada,2013-05-01,14640000
Canada,2013-06-01,15220000
Canada,2013-07-01,16000000
Canada,2013-08-01,16800000
Canada,2013-09-01,16220000
Canada,2013-10-01,16140000
Canada,2013-11-01,16780000
Canada,2013-12-01,17100000
Canada,2014-01-01,17270000
Canada,2014-02-01,17310000
Canada,2014-03-01,17830000
Canada,2014-04-01,17210000
Canada,2014-05-01,16780000
Canada,2014-06-01,17170000
Canada,2014-07-01,17370000
Canada,2014-08-01,17160000
Canada,2014-09-01,17400000
Canada,2014-10-01,18030000
Canada,2014-11-01,17970000
Canada,2014-12-01,18290000
Canada,2015-01-01,18800000
Canada,2015-02-01,18900000
Canada,2015-03-01,18270000
Canada,2015-04-01,16760000
Canada,2015-05-01,15540000
Canada,2015-06-01,16730000
Canada,2015-07-01,18490000
Canada,2015-08-01,18980000
Canada,2015-09-01,16560000
Canada,2015-10-01,17330000
Canada,2015-11-01,18480000
Canada,2015-12-01,18710000
Canada,2016-01-01,18760000
Canada,2016-02-01,18370000
Canada,2016-03-01,18230000
Canada,2016-04-01,16590000
Canada,2016-05-01,13600000
Canada,2016-06-01,15060000
Canada,2016-07-01,17700000
Canada,2016-08-01,18650000
Canada,2016-09-01,18630000
Canada,2016-10-01,18840000
Canada,2016-11-01,20010000
Canada,2016-12-01,19200000
Canada,2017-01-01,19820000
Canada,2017-02-01,20010000
Canada,2017-03-01,18940000
Canada,2017-04-01,17320000
Canada,2017-05-01,17930000
Canada,2017-06-01,18410000
Canada,2017-07-01,19380000
Canada,2017-08-01,20190000
Canada,2017-09-01,19190000
Canada,2017-10-01,19020000
Canada,2017-11-01,20600000
Canada,2017-12-01,20900000
Canada,2018-01-01,20140000
Canada,2018-02-01,20870000
Canada,2018-03-01,21010000
Canada,2018-04-01,19530000
Canada,2018-05-01,20550000
Canada,2018-06-01,20490000
Canada,2018-07-01,21090000
Canada,2018-08-01,22130000
Canada,2018-09-01,20430000
Canada,2018-10-01,21760000
Canada,2018-11-01,22090000
Canada,2018-12-01,22090000
Canada,2019-01-01,20710000
Canada,2019-02-01,20860000
Canada,2019-03-01,21170000
Canada,2019-04-01,21580000
Canada,2019-05-01,20730000
Canada,2019-06-01,21440000
Canada,2019-07-01,21370000
Canada,2019-08-01,21410000
Canada,2019-09-01,20760000
Canada,2019-10-01,21250000
Canada,2019-11-01,22040000
Canada,2019-12-01,22600000
Canada,2020-01-01,21910000
Canada,2020-02-01,22230000
Canada,2020-03-01,21940000
Canada,2020-04-01,19030000
Canada,2020-05-01,17790000
Canada,2020-06-01,18900000
Canada,2020-07-01,18820000
Canada,2020-08-01,18690000
Canada,2020-09-01,19180000
Canada,2020-10-01,20140000
Canada,2020-11-01,21730000
Canada,2020-12-01,22470000
Canada,2021-01-01,22250000
Canada,2021-02-01,21300000
Canada,2021-03-01,21660000
Canada,2021-04-01,19940000
Canada,2021-05-01,20290000
Canada,2021-06-01,21490000
Canada,2021-07-01,21770000
Canada,2021-08-01,21430000
Canada,2021-09-01,21050000
Canada,2021-10-01,22430000